2023 Progressive Rock Albums,,Releases:,1065,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
         FranticDav | Faceless_Aeons
tapestrymusicpodcast | ickybus
  Vortexpro000 | theSmilingCow
   PyroL | Fayiron
Unsinful",,,Images & Words: The Prog Discord,,,
Hexvessel,Polar Veil,September 22,LP,"Psychedelic rock, Folk rock",Clean,"Helsinki, Finland",,S,,,
Subsignal,A Poetry of Rain,September 22,LP,"Prog-rock, Neo-Prog",Clean,"Hessen, Germany",,S,,,
Ponta Preta,Way Out West!,September 22,LP,Surf rock,Clean,"Lyon, France",BC,S,,,
Traindodge,The Alley Parade,September 22,LP,"Math rock, Post-Hardcore",Clean,"Oklahoma City, OK",BC,S,,,
Rostro Del Sol,Blue Storm,September 22,LP,"Psychedelic rock, Jazz rock",Clean,Mexico,BC,S,,,
Grails,Anches En Maat,September 22,LP,"Post-rock, Psychedelic rock",Instrumental,"Portland, OR",BC,S,,,
"Slaughter Beach, Dog","Crying, Laughing, Waving, Smiling",September 22,LP,"Indie Folk, Art rock",Clean,"Philadelphia, PA",BC,S,,,
Beatrix Players,Living & Alive,September 22,LP,"Indie Folk, Chamber Pop",Clean,"London, UK",BC,,,,
Apollo Suns,Departures,September 22,LP,"Psychedelic rock, Jazz rock, Funk",Instrumental,"Winnipeg, Canada",BC,S,,,
Yawning Man,Pot Head,September 22,LP,"Psychedelic rock, Post-rock, Desert rock",Instrumental,"La Quinta, CA",BC,S,,,
Wicketkeeper,Zambroni,September 22,LP,"Garage rock, Jangle rock",Clean,"London, UK",BC,S,,,
Oslo Ess,Oslo Ess,September 22,LP,Punk rock,Clean,"Oslo, Norway",BC,S,,,
Dead Feathers,Full Circle,September 22,LP,Psychedelic rock,Clean,"Chicago, IL",BC,S,,,
Houston,The Biggest Shove In Space,September 22,LP,Alt-rock,Clean,"Minneapolis, MN",BC,S,,,
Bruce Soord,Luminescence,September 22,LP,Prog-rock,Clean,"Yeovil, UK",BC,S,,,
Nova Cascade,The Navigator,September 29,LP,Prog-rock,Clean,UK,BC,S,,,
Steven Wilson,The Harmony Codex,September 29,LP,"Prog-rock, Art rock",Clean,"Hertfordshire, UK",,S,,,
Black Stone Cherry,Screamin' At The Sky,September 29,LP,Hard rock,Clean,"Edmonton, KY",BC,S,,,
Blood Command,World Domination,September 29,LP,Pop Punk,Clean,"Bergen, Norway",BC,S,,,
Blond Redhead,Sit Down for Dinner,September 29,LP,"Indie rock, Dream Pop",Clean,"New York, NY",BC,S,,,
Koyo,Would You Miss It?,September 29,LP,"Pop Punk, Melodic Hardcore, Emo",Mixed,"Stony Brook, NY",BC,S,,,
Filth Is Eternal,Find Out,September 29,LP,Hardcore Punk,Clean,"Seattle, WA",BC,S,,,
Slow Pulp,Yard,September 29,LP,"Indie rock, Dream Pop",Clean,"Chicago, IL",BC,S,,,
Maggot Heart,Hunger,September 29,LP,"Garage rock, Hard rock",Clean,"Berlin, Germany",BC,S,,,
Emile,Spirit,September 29,LP,"Psychedelic rock, Acoustic Folk",Clean,"Copenhagen, Denmark",BC,S,,,
Gangar,Stubb,September 29,LP,Folk rock,Clean,"Oslo, Norway",BC,S,,,
Tuxis Giant,The Old House,September 29,LP,"Alt-Country, Indie rock",Clean,"Boston, MA",BC,S,,,
PsychoYogi,Brand New Face,September 29,LP,"Prog-rock, Jazz rock",Clean,"London, UK",BC,S,,,
Luggage ,Hand is Bad,September 29,LP,"Experimental rock, Post-Punk",Clean,"Chicago, IL",BC,S,,,
Datarock,Media Consumption Pyramid,September 29,LP,"Alt-rock, Electronica",Clean,"Bergen, Norway",BC,S,,,
Fearing,Destroyer,September 29,LP,"Gothic rock, Post-Punk",Clean,"Oakland, CA",BC,S,,,
Blodet,Death Mother,September 29,LP,Post-rock,Clean,"Skellefteå, Sweden",BC,S,,,
Breeze,Sour Grapes,September 30,LP,"Indie rock, Alternative Dance",Clean,"Toronto, Canada",BC,,,,
Ethan P. Flynn,Abandon All Hope,October 6,LP,"Art rock, Neo-Psychedelia",Clean,"London, UK",BC,S,,,
John Ghost,Thin Air . Mirror Land,October 6,LP,Jazz Fusion,Instrumental,"Ghent, Belgium",BC,S,,,
Dusk,Wheels of Time,October 6,LP,Hard rock,Clean,"Vienna, Austria",,,,,
Kadabra,Umbra,October 6,LP,"Stoner rock, Heavy Psych",Clean,"Spokane, WA",BC,S,,,
Half Stack,Sitting Pretty,October 6,LP,"Indie rock, Alt-Country",Clean,"Oakland, CA",BC,S,,,
Teeth Of The Sea,Hive,October 6,LP,"Post-Industrial, Post-rock",Instrumental,"London, UK",BC,S,,,
Citizen,Calling the Dogs,October 6,LP,"Post-Punk Revival, Alt-rock, Punk-Rock, Emo",Clean,"Toledo, OH",BC,S,,,
Chris Brain,Steady Away,October 6,LP,"Singer/Songwriter, Contemporary Folk",Clean,"Leeds, UK",BC,S,,,
Good Lovelies,We Will Never Be The Same,October 6,LP,"Indie Folk, Country Folk, Folk Pop",Clean,"Toronto, Ontario",BC,S,,,
Mutual Benefit,Growing at the Edges,October 6,LP,"Experimental Pop, Folk Pop, Indie Pop",Clean,"Brooklyn, New York",BC,S,,,
Of Mice & Men,Tether,October 6,LP,"Hard Rock, Alternative Rock",Mixed,"Costa Mesa, California",,S,,,
Michael Abdow,Séance In Black,October 6,LP,"Progressive Rock, Fusion",Clean,Massachusetts,BC,S,,,
Jordsjø,Salighet,October 6,LP,"Progressive Rock, Symphonic Rock, Folk Rock",Clean,"Oslo, Norway",BC,S,,,
Christina,Bar Stool Prophet,October 6,LP,Progressive Rock,Clean,UK,BC,,,,
Erik Wøllo,Cloud of Strings,October 6,LP,"Electronic, Acoustic, Ambient",Instrumental,Norway,,S,,,
This Winter Machine,The Clockwork Man,October 6,LP,"Progressive Rock, Neo-Prog",Clean,"Leeds, UK",,,,,
Tiger Moth Tales (Peter Jones),The Turning Of The World,October 6,LP,"Progressive Rock, Acoustic",Clean,"Nottinghamshire, UK",BC,,,,
Trevor Rabin,Rio,October 6,LP,"Progressive Rock, Pop, Symphonic",Clean,"Johannesburg, South Africa",,S,,,
Porpoise Spit,Don't Quit,October 12,LP,"Garage rock, Alt-Country",Clean,"Melbourne, Australia",BC,,,,
Allah-Las,Zuma 85,October 13,LP,"Garage rock, Neo-Psychedelia",Clean,"Los Angeles, CA",BC,S,,,
Vanishing Kids,Miracle of Death,October 13,LP,"Psychedelic rock, Stoner rock, Doom metal",Clean,"Portland, OR",,S,,,
Mouche-Miel,Satellites,October 13,LP,"Math rock, Noise rock",Instrumental,"Bern, Switzerland",BC,S,,,
Squirrel Flower,Tomorrow’s Fire,October 13,LP,"Singer/Songwriter, Indie Folk",Clean,"Chicago, IL",BC,,,,
False Fed,Let Them Eat Fake,October 13,LP,"Post-Punk, Anarcho-Punk",Clean,UK,BC,S,,,
Mondo Generator,We Stand Against You,October 13,LP,"Stoner rock, Punk rock",Clean,"Los Angeles, CA",BC,S,,,
Årabrot,Of Darkness And Light,October 13,LP,"Noise Rock, Hard Rock, Alternative Rock",Mixed,"Haugesund, Norway",BC,S,,,
SAWCE,"Life Is Temporary, Sawce is Forever",October 13,LP,"Progressive Rock, Math Rock",Instrumental,New Jersey,BC,S,,,
First Came The Shadow,First Came The Shadow,October 13,LP,Instrumental Post-Rock,Instrumental,"Nice, France",BC,S,,,
35 Tapes,Fabric of Time,October 13,LP,Progressive rock,Clean,Norway,,S,,,
Tandem Felix,There's a New Sheriff in Town,October 20,LP,"Indie rock, Alt-Country",Clean,"Dublin, Ireland",BC,S,,,
David Longdon,Wild River,October 20,LP,Art rock,Clean,"Nottingham, UK",BC,,,,
Appalooza,The Shining Son,October 20,LP,Stoner rock,Clean,"Brittany, France",BC,S,,,
Hippie Death Cult,Helichrysum,October 20,LP,"Stoner rock, Doom metal, Heavy Psych",Clean,"Portland, OR",BC,S,,,
Dirty Sound Magnet,Dreaming in Dystopia,October 20,LP,Psychedelic rock,Clean,Switzerland,BC,S,,,
Head with Wings,Without Intervention,October 20,LP,"Progressive Rock, Alternative Rock",Clean,"New Haven, Connecticut",BC,S,,,
Ozric Tentacles,Lotus Unfolding,October 20,LP,Psychedelic rock,Instrumental,"Glastonbury, UK",,S,,,
Galahad,The Long Goodbye,October 20,LP,"Progressive Rock, Neo-Prog",Clean,"Ferndown, UK",,,,,
District 97,Stay For The Ending,October 20,LP,"Progressive Rock, Heavy Prog",Clean,"Chicago, IL",,S,,,
The Third Mind,The Third Mind 2,October 27,LP,"Psychedelic rock, Folk rock",Clean,"Downey, CA",BC,S,,,
NYOS,"Waterfall Cave Fantasy, Forever",October 27,LP,"post-rock, math-rock, noise-rock",Instrumental,Finland,BC,S,,,
Closure in Moscow,Soft Hell,October 27,LP,"Prog rock, prog pop, psych rock, post-hardcore",Clean,"Melbourne, Australia",BC,S,,,
Howling Giant,Glass Future,October 27,LP,Stoner rock,Clean,"Nashville, TN, USA",BC,S,,,
Pattern-Seeking Animals,Spooky Action at a Distance,October 27,LP,Prog rock,Clean,"Sacramento, CA",BC,S,,,
Glass Hammer,Arise,October 27,LP,Prog rock,Clean,"Nashville, TN",BC,,,,
Fish On Friday,8mm,October 27,LP,Prog rock,Clean,Belgium,,S,,,
My Octopus Mind,Trying To Be Normal,November 3,LP,Experimental rock,Clean,"Bristol, UK",BC,S,,,
Green Lung,This Heathen Land,November 3,LP,"Psychedelic Rock, Folk Rock, Stoner Rock",Clean,"London, UK",BC,S,,,
PoiL Ueda,Yoshitsune,November 3,LP,Avant-Prog,,"Lyon, France",BC,,,,
A Cause In Distress,In Search Of Spring,November 3,LP,Art Rock,Clean,"Southend On Sea, UK",BC,S,,,
Gong,Unending Ascending,November 3,LP,"Progressive Rock, Psychedelic Rock",Clean,"London, UK",BC,S,,,
There Will Be Fireworks,Summer Moon,November 3,LP,"Post Rock, Alternative Rock",Clean,"Glasgow, UK",BC,S,,,
SUDS,The Great Overgrowth,November 3,LP,"Indie, Emo, Math Rock",Mixed,,BC,S,,,
Univers Zero,Lueur,November 3,LP,"Progressive Rock, Avant-Prog",Instrumental,Belgium,BC,,,,
Space Weather,Jaded and Dreaming,November 10,LP,"Post-Hardcore, Progressive Rock",Clean,"Pittsburgh, Pennsylvania",BC,S,,,
Psychedelic Porn Crumpets,Fronzoli,November 10,LP,Psychedelic Rock,Clean,"Perth, Australia",BC,S,,,
Dolly Parton,Rockstar,November 17,LP,Country Pop,Clean,"Brentwood, TN",,S,,,
Shipwreck Karpathos,Being Human,November 17,LP,Post-Rock,Instrumental,"Indianapolis, Indiana",BC,S,,,
Ritual King,The Infinite Mirror,November 17,LP,"Psychedelic Rock, Stoner Rock, Blues Rock",Clean,"Manchester, UK",BC,S,,,
Soars,Repeater,November 17,LP,Post-Rock,Instrumental,Sweden,BC,S,,,
MMTH,Infinite Heights,November 17,LP,Instrumental Post-Rock,Instrumental,"Aurich, Germany",BC,S,,,
Exulansis,Hymns of Collapse,November 17,LP,"Chamber Folk, Dark Ambient",Clean,"Colestin, Oregon",BC,S,,,
Mingjia,"star, star",November 17,LP,"Baroque Pop, Chamber Jazz",Clean,"Toronto, Canada",BC,S,,,
Sog City,Thoroughbreds,November 23,LP,"Psychedelic Rock, Noise Rock",Clean,"Toledo, Ohio",BC,,,,
Rainburn,Vignettes,November 24,LP,Progressive Rock,Clean,"Bengaluru, India",BC,S,,,
Forêt Endormie,Le d​é​sespoir utopique,November 24,LP,"Neo-Folk, Avant-Garde Jazz, Classical",Clean,"Portland, Maine",BC,S,,,
Tuber,Joyful Science,December 1,LP,"Stoner rock, post-rock",Instrumental,Greece,BC,S,,,
Peter Gabriel,i/o,December 1,LP,"Prog-rock, Pop rock",Clean,"Chobham, UK",BC,S,,,
Moon Safari,Himlabacken Vol. 2,December 8,LP,"Symphonic Prog, Progressive Rock",Clean,Sweden,,S,,,
Mars Red Sky,Dawn Of The Dusk,December 8,LP,"Progressive Rock, Psychedelic Rock, Stoner Rock",Clean,"Bordeaux, France ",BC,S,,,
Ruah,Memory Loops,December 12,LP,"Experimental Pop, Dark Ambient, Noise Pop",Clean,"Philadelphia, Pennsylvania",BC,S,,,
Pallas,The Messenger,December 15,LP,"Prog-rock, Symphonic Prog",Clean,UK,BC,,,,
We Are Space Horses,Apologia,December 29,LP,"Prog-rock, Psychedelic rock, Stoner rock",Clean,"Boston, MA",BC,S,,,
